Ireland, Deaths (period 1x10), 	Last modified: 23 Jan 2025;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1950-1959       53              1216.00         1615.00         2831.00
1950-1959       54              1367.00         1936.00         3303.00
1950-1959       55              1313.00         1944.00         3257.00
1950-1959       56              1679.00         2244.00         3923.00
1950-1959       57              1339.00         2071.00         3410.00
1950-1959       58              1791.00         2456.00         4247.00
1950-1959       59              1427.00         2251.00         3678.00
1950-1959       60              2709.00         3526.00         6235.00
1950-1959       61              1577.00         2202.00         3779.00
1950-1959       62              2244.00         2999.00         5243.00
1950-1959       63              2249.00         2918.00         5167.00
1950-1959       64              2599.00         3288.00         5887.00
1950-1959       65              3197.00         4339.00         7536.00
1950-1959       66              2387.00         3243.00         5630.00
1950-1959       67              2625.00         3664.00         6289.00
1950-1959       68              3558.00         4664.00         8222.00
1950-1959       69              3294.00         4560.00         7854.00
1950-1959       70              4933.00         5608.00        10541.00
1950-1959       71              3817.00         4482.00         8299.00
1950-1959       72              5124.00         5868.00        10992.00
1950-1959       73              5189.00         6058.00        11247.00
1950-1959       74              5716.00         6562.00        12278.00
1950-1959       75              6064.00         6900.00        12964.00
1950-1959       76              5963.00         6669.00        12632.00
1950-1959       77              5287.00         6048.00        11335.00
1950-1959       78              5989.00         6674.00        12663.00
1950-1959       79              4825.00         5454.00        10279.00
1950-1959       80              6720.00         6916.00        13636.00
1950-1959       81              4209.00         4568.00         8777.00
1950-1959       82              5118.00         5210.00        10328.00
1950-1959       83              4450.00         4499.00         8949.00
1950-1959       84              4678.00         4811.00         9489.00
1950-1959       85              3779.00         3655.00         7434.00
1950-1959       86              3564.00         3232.00         6796.00
1950-1959       87              2745.00         2439.00         5184.00
1950-1959       88              2134.00         1857.00         3991.00
1950-1959       89              1633.00         1451.00         3084.00
1950-1959       90              1701.00         1265.00         2966.00
1950-1959       91               935.00          701.00         1636.00
1950-1959       92               916.00          583.00         1499.00
1950-1959       93               712.00          438.00         1150.00
1950-1959       94               550.00          339.00          889.00
1950-1959       95               418.00          245.00          663.00
1950-1959       96               303.00          186.00          489.00
1950-1959       97               226.00          111.00          337.00
1950-1959       98               155.00          103.00          258.00
1950-1959       99               122.00           52.00          174.00
1950-1959      100                57.62           31.87           89.49
1950-1959      101                30.96           17.64           48.60
1950-1959      102                22.48           10.21           32.69
1950-1959      103                11.56            5.75           17.31
1950-1959      104                 5.85            1.21            7.06
1950-1959      105                 1.49            1.32            2.81
1950-1959      106                 0.00            0.00            0.00
1950-1959      107                 0.00            0.00            0.00
1950-1959      108                 0.00            0.00            0.00
1950-1959      109                 0.00            0.00            0.00
1950-1959      110+                0.00            0.00            0.00
1960-1969        0              6900.00         9125.00        16025.00
1960-1969        1               458.00          543.00         1001.00
1960-1969        2               298.00          334.00          632.00
1960-1969        3               213.00          243.00          456.00
1960-1969        4               143.00          211.00          354.00
1960-1969        5               137.00          166.00          303.00
1960-1969        6               128.00          165.00          293.00
1960-1969        7                81.00          134.00          215.00
1960-1969        8               104.00          135.00          239.00
1960-1969        9                86.00          139.00          225.00
1960-1969       10                82.00          120.00          202.00
1960-1969       11                84.00           90.00          174.00
1960-1969       12                79.00          120.00          199.00
1960-1969       13                68.00          121.00          189.00
1960-1969       14                78.00          100.00          178.00
1960-1969       15                83.00          148.00          231.00
1960-1969       16                74.00          172.00          246.00
1960-1969       17               104.00          178.00          282.00
1960-1969       18                81.00          189.00          270.00
1960-1969       19               107.00          241.00          348.00
1960-1969       20               100.00          240.00          340.00
1960-1969       21                85.00          193.00          278.00
1960-1969       22                99.00          190.00          289.00
1960-1969       23               107.00          173.00          280.00
1960-1969       24                88.00          157.00          245.00
1960-1969       25               103.00          177.00          280.00
1960-1969       26                90.00          182.00          272.00
1960-1969       27               113.00          183.00          296.00
1960-1969       28               117.00          162.00          279.00
1960-1969       29               127.00          193.00          320.00
1960-1969       30               168.00          187.00          355.00
1960-1969       31               128.00          178.00          306.00
1960-1969       32               176.00          205.00          381.00
1960-1969       33               171.00          225.00          396.00
1960-1969       34               197.00          246.00          443.00
1960-1969       35               215.00          278.00          493.00
1960-1969       36               251.00          283.00          534.00
1960-1969       37               218.00          309.00          527.00
1960-1969       38               299.00          394.00          693.00
1960-1969       39               301.00          370.00          671.00
1960-1969       40               409.00          493.00          902.00
1960-1969       41               322.00          430.00          752.00
1960-1969       42               484.00          553.00         1037.00
1960-1969       43               448.00          574.00         1022.00
1960-1969       44               445.00          653.00         1098.00
1960-1969       45               621.00          840.00         1461.00
1960-1969       46               597.00          779.00         1376.00
1960-1969       47               649.00          862.00         1511.00
1960-1969       48               748.00          997.00         1745.00
1960-1969       49               776.00          977.00         1753.00
1960-1969       50              1110.00         1615.00         2725.00
1960-1969       51               774.00         1088.00         1862.00
1960-1969       52              1139.00         1568.00         2707.00
1960-1969       53              1020.00         1633.00         2653.00
1960-1969       54              1209.00         1828.00         3037.00
1960-1969       55              1081.00         1970.00         3051.00
1960-1969       56              1352.00         2135.00         3487.00
1960-1969       57              1222.00         2059.00         3281.00
1960-1969       58              1511.00         2495.00         4006.00
1960-1969       59              1377.00         2393.00         3770.00
1960-1969       60              2172.00         3385.00         5557.00
1960-1969       61              1461.00         2530.00         3991.00
1960-1969       62              2155.00         3382.00         5537.00
1960-1969       63              2110.00         3363.00         5473.00
1960-1969       64              2360.00         3660.00         6020.00
1960-1969       65              2862.00         4548.00         7410.00
1960-1969       66              2313.00         3581.00         5894.00
1960-1969       67              2502.00         3745.00         6247.00
1960-1969       68              3160.00         4699.00         7859.00
1960-1969       69              3041.00         4484.00         7525.00
1960-1969       70              4310.00         5315.00         9625.00
1960-1969       71              3122.00         4179.00         7301.00
1960-1969       72              4512.00         5499.00        10011.00
1960-1969       73              4441.00         5585.00        10026.00
1960-1969       74              4933.00         5692.00        10625.00
1960-1969       75              5097.00         5976.00        11073.00
1960-1969       76              5195.00         5723.00        10918.00
1960-1969       77              4559.00         5248.00         9807.00
1960-1969       78              5275.00         5605.00        10880.00
1960-1969       79              4497.00         4813.00         9310.00
1960-1969       80              6398.00         6023.00        12421.00
1960-1969       81              4304.00         4268.00         8572.00
1960-1969       82              5137.00         5129.00        10266.00
1960-1969       83              4896.00         4479.00         9375.00
1960-1969       84              5310.00         5012.00        10322.00
1960-1969       85              4504.00         4160.00         8664.00
1960-1969       86              4296.00         3794.00         8090.00
1960-1969       87              3530.00         3150.00         6680.00
1960-1969       88              3214.00         2516.00         5730.00
1960-1969       89              2452.00         2025.00         4477.00
1960-1969       90              2438.00         1830.00         4268.00
1960-1969       91              1459.00         1154.00         2613.00
1960-1969       92              1413.00          977.00         2390.00
1960-1969       93              1095.00          690.00         1785.00
1960-1969       94               851.00          557.00         1408.00
1960-1969       95               616.00          340.00          956.00
1960-1969       96               507.00          312.00          819.00
1960-1969       97               326.00          144.00          470.00
1960-1969       98               231.00          121.00          352.00
1960-1969       99               138.00           53.00          191.00
1960-1969      100                65.62           21.40           87.02
1960-1969      101                39.45           13.05           52.50
1960-1969      102                27.81            4.55           32.36
1960-1969      103                14.28            1.00           15.28
1960-1969      104                 5.57            4.00            9.57
1960-1969      105                 2.26            2.00            4.26
1960-1969      106                 2.00            2.00            4.00
1960-1969      107                 0.00            0.00            0.00
1960-1969      108                 1.00            1.00            2.00
1960-1969      109                 0.00            1.00            1.00
1960-1969      110+                0.00            1.00            1.00
1970-1979        0              4906.00         6530.00        11436.00
1970-1979        1               366.00          439.00          805.00
1970-1979        2               222.00          267.00          489.00
1970-1979        3               160.00          245.00          405.00
1970-1979        4               129.00          183.00          312.00
1970-1979        5                98.00          177.00          275.00
1970-1979        6                99.00          169.00          268.00
1970-1979        7                82.00          130.00          212.00
1970-1979        8                87.00          137.00          224.00
1970-1979        9                79.00          118.00          197.00
1970-1979       10                53.00          103.00          156.00
1970-1979       11                73.00          134.00          207.00
1970-1979       12                66.00          116.00          182.00
1970-1979       13                76.00          126.00          202.00
1970-1979       14                75.00          130.00          205.00
1970-1979       15                83.00          142.00          225.00
1970-1979       16               123.00          190.00          313.00
1970-1979       17               106.00          274.00          380.00
1970-1979       18               110.00          320.00          430.00
1970-1979       19               104.00          322.00          426.00
1970-1979       20               117.00          307.00          424.00
1970-1979       21               108.00          336.00          444.00
1970-1979       22               115.00          294.00          409.00
1970-1979       23                93.00          310.00          403.00
1970-1979       24               112.00          272.00          384.00
1970-1979       25               109.00          229.00          338.00
1970-1979       26               106.00          244.00          350.00
1970-1979       27                98.00          258.00          356.00
1970-1979       28               134.00          257.00          391.00
1970-1979       29               119.00          253.00          372.00
1970-1979       30               113.00          225.00          338.00
1970-1979       31               121.00          184.00          305.00
1970-1979       32               121.00          232.00          353.00
1970-1979       33               119.00          252.00          371.00
1970-1979       34               143.00          237.00          380.00
1970-1979       35               150.00          258.00          408.00
1970-1979       36               178.00          252.00          430.00
1970-1979       37               163.00          293.00          456.00
1970-1979       38               236.00          339.00          575.00
1970-1979       39               205.00          328.00          533.00
1970-1979       40               280.00          441.00          721.00
1970-1979       41               270.00          421.00          691.00
1970-1979       42               359.00          568.00          927.00
1970-1979       43               291.00          509.00          800.00
1970-1979       44               378.00          569.00          947.00
1970-1979       45               457.00          721.00         1178.00
1970-1979       46               516.00          722.00         1238.00
1970-1979       47               525.00          798.00         1323.00
1970-1979       48               637.00          911.00         1548.00
1970-1979       49               680.00          993.00         1673.00
1970-1979       50               892.00         1333.00         2225.00
1970-1979       51               711.00         1187.00         1898.00
1970-1979       52               964.00         1556.00         2520.00
1970-1979       53              1002.00         1581.00         2583.00
1970-1979       54              1095.00         1866.00         2961.00
1970-1979       55              1096.00         1922.00         3018.00
1970-1979       56              1312.00         2197.00         3509.00
1970-1979       57              1347.00         2262.00         3609.00
1970-1979       58              1496.00         2666.00         4162.00
1970-1979       59              1493.00         2609.00         4102.00
1970-1979       60              2155.00         3388.00         5543.00
1970-1979       61              1595.00         2852.00         4447.00
1970-1979       62              2101.00         3538.00         5639.00
1970-1979       63              2129.00         3697.00         5826.00
1970-1979       64              2306.00         4054.00         6360.00
1970-1979       65              2646.00         4571.00         7217.00
1970-1979       66              2343.00         4127.00         6470.00
1970-1979       67              2685.00         4695.00         7380.00
1970-1979       68              3216.00         5077.00         8293.00
1970-1979       69              3215.00         5076.00         8291.00
1970-1979       70              4250.00         5748.00         9998.00
1970-1979       71              3303.00         4946.00         8249.00
1970-1979       72              4171.00         5915.00        10086.00
1970-1979       73              4585.00         5760.00        10345.00
1970-1979       74              4951.00         6103.00        11054.00
1970-1979       75              5181.00         6062.00        11243.00
1970-1979       76              5329.00         6011.00        11340.00
1970-1979       77              4711.00         5307.00        10018.00
1970-1979       78              5456.00         5750.00        11206.00
1970-1979       79              4713.00         5014.00         9727.00
1970-1979       80              6356.00         5774.00        12130.00
1970-1979       81              4395.00         4237.00         8632.00
1970-1979       82              5248.00         4777.00        10025.00
1970-1979       83              5118.00         4370.00         9488.00
1970-1979       84              5337.00         4526.00         9863.00
1970-1979       85              4435.00         3706.00         8141.00
1970-1979       86              4557.00         3604.00         8161.00
1970-1979       87              3611.00         2880.00         6491.00
1970-1979       88              3348.00         2493.00         5841.00
1970-1979       89              2846.00         1951.00         4797.00
1970-1979       90              2568.00         1698.00         4266.00
1970-1979       91              1876.00         1177.00         3053.00
1970-1979       92              1732.00         1086.00         2818.00
1970-1979       93              1412.00          842.00         2254.00
1970-1979       94              1109.00          617.00         1726.00
1970-1979       95               824.00          425.00         1249.00
1970-1979       96               724.00          325.00         1049.00
1970-1979       97               446.00          203.00          649.00
1970-1979       98               374.00          142.00          516.00
1970-1979       99               234.00           90.00          324.00
1970-1979      100                92.00           29.00          121.00
1970-1979      101                54.00           17.00           71.00
1970-1979      102                44.00           11.00           55.00
1970-1979      103                11.00            2.00           13.00
1970-1979      104                 8.00            2.00           10.00
1970-1979      105                 1.00            1.00            2.00
1970-1979      106                 0.00            0.00            0.00
1970-1979      107                 2.00            1.00            3.00
1970-1979      108                 1.00            0.00            1.00
1970-1979      109                 0.00            0.00            0.00
1970-1979      110+                0.00            0.00            0.00
1980-1989        0              2648.00         3427.00         6075.00
1980-1989        1               211.00          293.00          504.00
1980-1989        2               140.00          205.00          345.00
1980-1989        3               107.00          146.00          253.00
1980-1989        4               103.00          142.00          245.00
1980-1989        5                88.00          121.00          209.00
1980-1989        6                62.00          103.00          165.00
1980-1989        7                55.00          107.00          162.00
1980-1989        8                57.00          102.00          159.00
1980-1989        9                53.00          119.00          172.00
1980-1989       10                50.00          112.00          162.00
1980-1989       11                48.00           96.00          144.00
1980-1989       12                66.00           79.00          145.00
1980-1989       13                58.00          105.00          163.00
1980-1989       14                77.00          132.00          209.00
1980-1989       15                70.00          159.00          229.00
1980-1989       16               100.00          210.00          310.00
1980-1989       17               104.00          284.00          388.00
1980-1989       18               121.00          320.00          441.00
1980-1989       19               102.00          394.00          496.00
1980-1989       20               102.00          340.00          442.00
1980-1989       21               107.00          359.00          466.00
1980-1989       22                98.00          304.00          402.00
1980-1989       23               104.00          311.00          415.00
1980-1989       24                99.00          289.00          388.00
1980-1989       25                86.00          256.00          342.00
1980-1989       26                84.00          254.00          338.00
1980-1989       27                89.00          251.00          340.00
1980-1989       28               102.00          269.00          371.00
1980-1989       29                92.00          232.00          324.00
1980-1989       30               130.00          271.00          401.00
1980-1989       31               105.00          245.00          350.00
1980-1989       32               141.00          265.00          406.00
1980-1989       33               140.00          282.00          422.00
1980-1989       34               150.00          272.00          422.00
1980-1989       35               158.00          324.00          482.00
1980-1989       36               162.00          308.00          470.00
1980-1989       37               175.00          283.00          458.00
1980-1989       38               179.00          327.00          506.00
1980-1989       39               201.00          356.00          557.00
1980-1989       40               243.00          423.00          666.00
1980-1989       41               252.00          406.00          658.00
1980-1989       42               282.00          512.00          794.00
1980-1989       43               289.00          458.00          747.00
1980-1989       44               307.00          472.00          779.00
1980-1989       45               357.00          585.00          942.00
1980-1989       46               353.00          644.00          997.00
1980-1989       47               414.00          676.00         1090.00
1980-1989       48               426.00          747.00         1173.00
1980-1989       49               477.00          803.00         1280.00
1980-1989       50               646.00          997.00         1643.00
1980-1989       51               551.00          959.00         1510.00
1980-1989       52               670.00         1203.00         1873.00
1980-1989       53               727.00         1239.00         1966.00
1980-1989       54               848.00         1513.00         2361.00
1980-1989       55               898.00         1584.00         2482.00
1980-1989       56               961.00         1709.00         2670.00
1980-1989       57              1085.00         1992.00         3077.00
1980-1989       58              1240.00         2268.00         3508.00
1980-1989       59              1403.00         2318.00         3721.00
1980-1989       60              1626.00         2760.00         4386.00
1980-1989       61              1551.00         2675.00         4226.00
1980-1989       62              1974.00         3201.00         5175.00
1980-1989       63              1973.00         3391.00         5364.00
1980-1989       64              2177.00         3614.00         5791.00
1980-1989       65              2320.00         4167.00         6487.00
1980-1989       66              2536.00         4333.00         6869.00
1980-1989       67              2707.00         4440.00         7147.00
1980-1989       68              2995.00         5001.00         7996.00
1980-1989       69              3244.00         5074.00         8318.00
1980-1989       70              3702.00         5705.00         9407.00
1980-1989       71              3467.00         5388.00         8855.00
1980-1989       72              4113.00         6162.00        10275.00
1980-1989       73              4179.00         6235.00        10414.00
1980-1989       74              4581.00         6465.00        11046.00
1980-1989       75              4680.00         6487.00        11167.00
1980-1989       76              5073.00         6197.00        11270.00
1980-1989       77              4728.00         5835.00        10563.00
1980-1989       78              4987.00         5816.00        10803.00
1980-1989       79              5058.00         5639.00        10697.00
1980-1989       80              5894.00         5622.00        11516.00
1980-1989       81              5079.00         4739.00         9818.00
1980-1989       82              5612.00         4948.00        10560.00
1980-1989       83              5343.00         4436.00         9779.00
1980-1989       84              5503.00         4322.00         9825.00
1980-1989       85              4927.00         3508.00         8435.00
1980-1989       86              4935.00         3304.00         8239.00
1980-1989       87              4290.00         2840.00         7130.00
1980-1989       88              3776.00         2327.00         6103.00
1980-1989       89              3144.00         1950.00         5094.00
1980-1989       90              2865.00         1614.00         4479.00
1980-1989       91              2223.00         1201.00         3424.00
1980-1989       92              2115.00         1105.00         3220.00
1980-1989       93              1555.00          814.00         2369.00
1980-1989       94              1300.00          584.00         1884.00
1980-1989       95               985.00          433.00         1418.00
1980-1989       96               720.00          293.00         1013.00
1980-1989       97               546.00          220.00          766.00
1980-1989       98               401.00          157.00          558.00
1980-1989       99               242.00           76.00          318.00
1980-1989      100               151.00           30.00          181.00
1980-1989      101                95.00           18.00          113.00
1980-1989      102                47.00           14.00           61.00
1980-1989      103                23.00            5.00           28.00
1980-1989      104                21.00            2.00           23.00
1980-1989      105                12.00            3.00           15.00
1980-1989      106                 8.00            1.00            9.00
1980-1989      107                 1.00            1.00            2.00
1980-1989      108                 1.00            0.00            1.00
1980-1989      109                 0.00            0.00            0.00
1980-1989      110+                1.00            0.00            1.00
1990-1999        0              1430.00         1883.00         3313.00
1990-1999        1               112.00          129.00          241.00
1990-1999        2                71.00          105.00          176.00
1990-1999        3                65.00           90.00          155.00
1990-1999        4                51.00           59.00          110.00
1990-1999        5                33.00           59.00           92.00
1990-1999        6                31.00           61.00           92.00
1990-1999        7                30.00           64.00           94.00
1990-1999        8                27.00           57.00           84.00
1990-1999        9                37.00           49.00           86.00
1990-1999       10                42.00           53.00           95.00
1990-1999       11                42.00           72.00          114.00
1990-1999       12                38.00           76.00          114.00
1990-1999       13                56.00           87.00          143.00
1990-1999       14                55.00          109.00          164.00
1990-1999       15                75.00          126.00          201.00
1990-1999       16                82.00          189.00          271.00
1990-1999       17               111.00          233.00          344.00
1990-1999       18               103.00          331.00          434.00
1990-1999       19               105.00          375.00          480.00
1990-1999       20               107.00          364.00          471.00
1990-1999       21                99.00          357.00          456.00
1990-1999       22                90.00          368.00          458.00
1990-1999       23                88.00          361.00          449.00
1990-1999       24                87.00          369.00          456.00
1990-1999       25                92.00          331.00          423.00
1990-1999       26                96.00          285.00          381.00
1990-1999       27               100.00          310.00          410.00
1990-1999       28               105.00          304.00          409.00
1990-1999       29               117.00          307.00          424.00
1990-1999       30               125.00          298.00          423.00
1990-1999       31               116.00          276.00          392.00
1990-1999       32               113.00          292.00          405.00
1990-1999       33               161.00          320.00          481.00
1990-1999       34               159.00          313.00          472.00
1990-1999       35               160.00          360.00          520.00
1990-1999       36               193.00          323.00          516.00
1990-1999       37               200.00          292.00          492.00
1990-1999       38               200.00          366.00          566.00
1990-1999       39               225.00          371.00          596.00
1990-1999       40               253.00          400.00          653.00
1990-1999       41               253.00          448.00          701.00
1990-1999       42               306.00          481.00          787.00
1990-1999       43               345.00          518.00          863.00
1990-1999       44               360.00          545.00          905.00
1990-1999       45               398.00          614.00         1012.00
1990-1999       46               432.00          692.00         1124.00
1990-1999       47               479.00          702.00         1181.00
1990-1999       48               474.00          790.00         1264.00
1990-1999       49               525.00          802.00         1327.00
1990-1999       50               551.00          902.00         1453.00
1990-1999       51               560.00          872.00         1432.00
1990-1999       52               619.00         1064.00         1683.00
1990-1999       53               665.00         1061.00         1726.00
1990-1999       54               760.00         1190.00         1950.00
1990-1999       55               747.00         1301.00         2048.00
1990-1999       56               788.00         1424.00         2212.00
1990-1999       57               840.00         1584.00         2424.00
1990-1999       58               939.00         1711.00         2650.00
1990-1999       59              1019.00         1832.00         2851.00
1990-1999       60              1151.00         2031.00         3182.00
1990-1999       61              1178.00         2136.00         3314.00
1990-1999       62              1415.00         2491.00         3906.00
1990-1999       63              1552.00         2659.00         4211.00
1990-1999       64              1560.00         2905.00         4465.00
1990-1999       65              1783.00         3120.00         4903.00
1990-1999       66              2064.00         3390.00         5454.00
1990-1999       67              2199.00         3801.00         6000.00
1990-1999       68              2434.00         4003.00         6437.00
1990-1999       69              2851.00         4445.00         7296.00
1990-1999       70              3010.00         4779.00         7789.00
1990-1999       71              3089.00         4775.00         7864.00
1990-1999       72              3617.00         5407.00         9024.00
1990-1999       73              3848.00         5308.00         9156.00
1990-1999       74              4179.00         5686.00         9865.00
1990-1999       75              4518.00         5797.00        10315.00
1990-1999       76              4780.00         5929.00        10709.00
1990-1999       77              4944.00         5998.00        10942.00
1990-1999       78              5165.00         5920.00        11085.00
1990-1999       79              5401.00         6140.00        11541.00
1990-1999       80              5819.00         5936.00        11755.00
1990-1999       81              5643.00         5637.00        11280.00
1990-1999       82              5934.00         5490.00        11424.00
1990-1999       83              5853.00         5294.00        11147.00
1990-1999       84              5997.00         4734.00        10731.00
1990-1999       85              5567.00         4275.00         9842.00
1990-1999       86              5464.00         3898.00         9362.00
1990-1999       87              4947.00         3159.00         8106.00
1990-1999       88              4476.00         2621.00         7097.00
1990-1999       89              4303.00         2228.00         6531.00
1990-1999       90              3675.00         1827.00         5502.00
1990-1999       91              3100.00         1455.00         4555.00
1990-1999       92              2770.00         1179.00         3949.00
1990-1999       93              2179.00          839.00         3018.00
1990-1999       94              1735.00          647.00         2382.00
1990-1999       95              1358.00          478.00         1836.00
1990-1999       96              1027.00          339.00         1366.00
1990-1999       97               750.00          251.00         1001.00
1990-1999       98               544.00          154.00          698.00
1990-1999       99               379.00           77.00          456.00
1990-1999      100               210.00           57.00          267.00
1990-1999      101               135.00           44.00          179.00
1990-1999      102                88.00           19.00          107.00
1990-1999      103                58.00            6.00           64.00
1990-1999      104                33.00            3.00           36.00
1990-1999      105                12.00            6.00           18.00
1990-1999      106                10.00            2.00           12.00
1990-1999      107                 4.00            0.00            4.00
1990-1999      108                 3.00            0.00            3.00
1990-1999      109                 0.00            0.00            0.00
1990-1999      110+                1.00            0.00            1.00
2000-2009        0              1276.00         1624.00         2900.00
2000-2009        1               106.00          127.00          233.00
2000-2009        2                57.00           84.00          141.00
2000-2009        3                38.00           53.00           91.00
2000-2009        4                42.00           39.00           81.00
2000-2009        5                34.00           38.00           72.00
2000-2009        6                26.00           34.00           60.00
2000-2009        7                22.00           38.00           60.00
2000-2009        8                27.00           20.00           47.00
2000-2009        9                18.00           51.00           69.00
2000-2009       10                24.00           34.00           58.00
2000-2009       11                26.00           40.00           66.00
2000-2009       12                30.00           44.00           74.00
2000-2009       13                48.00           44.00           92.00
2000-2009       14                52.00           71.00          123.00
2000-2009       15                61.00          107.00          168.00
2000-2009       16                65.00          146.00          211.00
2000-2009       17                79.00          211.00          290.00
2000-2009       18               101.00          312.00          413.00
2000-2009       19               127.00          356.00          483.00
2000-2009       20                98.00          361.00          459.00
2000-2009       21               103.00          383.00          486.00
2000-2009       22               106.00          361.00          467.00
2000-2009       23                99.00          361.00          460.00
2000-2009       24               113.00          359.00          472.00
2000-2009       25               114.00          328.00          442.00
2000-2009       26               117.00          368.00          485.00
2000-2009       27               113.00          381.00          494.00
2000-2009       28               112.00          359.00          471.00
2000-2009       29               136.00          381.00          517.00
2000-2009       30               136.00          386.00          522.00
2000-2009       31               134.00          333.00          467.00
2000-2009       32               137.00          366.00          503.00
2000-2009       33               167.00          381.00          548.00
2000-2009       34               153.00          372.00          525.00
2000-2009       35               212.00          377.00          589.00
2000-2009       36               195.00          394.00          589.00
2000-2009       37               216.00          398.00          614.00
2000-2009       38               238.00          416.00          654.00
2000-2009       39               257.00          442.00          699.00
2000-2009       40               270.00          468.00          738.00
2000-2009       41               275.00          530.00          805.00
2000-2009       42               298.00          553.00          851.00
2000-2009       43               351.00          532.00          883.00
2000-2009       44               394.00          598.00          992.00
2000-2009       45               377.00          629.00         1006.00
2000-2009       46               483.00          684.00         1167.00
2000-2009       47               507.00          719.00         1226.00
2000-2009       48               528.00          794.00         1322.00
2000-2009       49               574.00          834.00         1408.00
2000-2009       50               576.00          919.00         1495.00
2000-2009       51               663.00         1029.00         1692.00
2000-2009       52               713.00         1103.00         1816.00
2000-2009       53               755.00         1207.00         1962.00
2000-2009       54               790.00         1280.00         2070.00
2000-2009       55               857.00         1350.00         2207.00
2000-2009       56               849.00         1515.00         2364.00
2000-2009       57               938.00         1521.00         2459.00
2000-2009       58              1006.00         1638.00         2644.00
2000-2009       59              1059.00         1782.00         2841.00
2000-2009       60              1044.00         1937.00         2981.00
2000-2009       61              1180.00         1946.00         3126.00
2000-2009       62              1257.00         2054.00         3311.00
2000-2009       63              1333.00         2159.00         3492.00
2000-2009       64              1374.00         2412.00         3786.00
2000-2009       65              1371.00         2551.00         3922.00
2000-2009       66              1618.00         2661.00         4279.00
2000-2009       67              1647.00         2746.00         4393.00
2000-2009       68              1706.00         2937.00         4643.00
2000-2009       69              1920.00         3181.00         5101.00
2000-2009       70              2114.00         3333.00         5447.00
2000-2009       71              2300.00         3598.00         5898.00
2000-2009       72              2468.00         3848.00         6316.00
2000-2009       73              2690.00         4072.00         6762.00
2000-2009       74              3093.00         4240.00         7333.00
2000-2009       75              3346.00         4469.00         7815.00
2000-2009       76              3736.00         4626.00         8362.00
2000-2009       77              3843.00         4752.00         8595.00
2000-2009       78              4320.00         4857.00         9177.00
2000-2009       79              4629.00         5121.00         9750.00
2000-2009       80              4980.00         5180.00        10160.00
2000-2009       81              5155.00         5135.00        10290.00
2000-2009       82              5599.00         5088.00        10687.00
2000-2009       83              5588.00         4700.00        10288.00
2000-2009       84              5569.00         4632.00        10201.00
2000-2009       85              5612.00         4222.00         9834.00
2000-2009       86              5663.00         3977.00         9640.00
2000-2009       87              5615.00         3678.00         9293.00
2000-2009       88              5074.00         3198.00         8272.00
2000-2009       89              4965.00         2845.00         7810.00
2000-2009       90              4404.00         2233.00         6637.00
2000-2009       91              3827.00         1933.00         5760.00
2000-2009       92              3404.00         1489.00         4893.00
2000-2009       93              2835.00         1254.00         4089.00
2000-2009       94              2291.00          851.00         3142.00
