Ireland, Deaths (period 5x5), 	Last modified: 23 Jan 2025;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1950-1954        0              5643.00         7656.00        13299.00
1950-1954      1-4              1224.00         1441.00         2665.00
1950-1954      5-9               482.00          573.00         1055.00
1950-1954     10-14              384.00          380.00          764.00
1950-1954     15-19              604.00          638.00         1242.00
1950-1954     20-24              768.00          877.00         1645.00
1950-1954     25-29              954.00          965.00         1919.00
1950-1954     30-34             1125.00         1193.00         2318.00
1950-1954     35-39             1470.00         1493.00         2963.00
1950-1954     40-44             1700.00         2030.00         3730.00
1950-1954     45-49             2112.00         2740.00         4852.00
1950-1954     50-54             3294.00         4373.00         7667.00
1950-1954     55-59             3906.00         5350.00         9256.00
1950-1954     60-64             5913.00         7572.00        13485.00
1950-1954     65-69             8059.00        10376.00        18435.00
1950-1954     70-74            13252.00        15121.00        28373.00
1950-1954     75-79            14413.00        16379.00        30792.00
1950-1954     80-84            12035.00        12571.00        24606.00
1950-1954     85-89             6228.00         5478.00        11706.00
1950-1954     90-94             2128.00         1462.00         3590.00
1950-1954     95-99              565.00          327.00          892.00
1950-1954    100-104              55.63           42.69           98.32
1950-1954    105-109               0.34            1.32            1.66
1950-1954    110+                  0.00            0.00            0.00
1955-1959        0              4425.00         6064.00        10489.00
1955-1959      1-4               732.00          963.00         1695.00
1955-1959      5-9               338.00          412.00          750.00
1955-1959     10-14              223.00          314.00          537.00
1955-1959     15-19              246.00          429.00          675.00
1955-1959     20-24              351.00          522.00          873.00
1955-1959     25-29              433.00          571.00         1004.00
1955-1959     30-34              684.00          713.00         1397.00
1955-1959     35-39             1001.00         1011.00         2012.00
1955-1959     40-44             1382.00         1583.00         2965.00
1955-1959     45-49             1878.00         2400.00         4278.00
1955-1959     50-54             2747.00         3772.00         6519.00
1955-1959     55-59             3643.00         5616.00         9259.00
1955-1959     60-64             5465.00         7361.00        12826.00
1955-1959     65-69             7002.00        10094.00        17096.00
1955-1959     70-74            11527.00        13457.00        24984.00
1955-1959     75-79            13715.00        15366.00        29081.00
1955-1959     80-84            13140.00        13433.00        26573.00
1955-1959     85-89             7627.00         7156.00        14783.00
1955-1959     90-94             2686.00         1864.00         4550.00
1955-1959     95-99              659.00          370.00         1029.00
1955-1959    100-104              72.84           23.99           96.83
1955-1959    105-109               1.15            0.00            1.15
1955-1959    110+                  0.00            0.00            0.00
1960-1964        0              3758.00         5040.00         8798.00
1960-1964      1-4               625.00          735.00         1360.00
1960-1964      5-9               289.00          374.00          663.00
1960-1964     10-14              209.00          286.00          495.00
1960-1964     15-19              206.00          436.00          642.00
1960-1964     20-24              259.00          405.00          664.00
1960-1964     25-29              298.00          457.00          755.00
1960-1964     30-34              477.00          563.00         1040.00
1960-1964     35-39              764.00          879.00         1643.00
1960-1964     40-44             1122.00         1394.00         2516.00
1960-1964     45-49             1733.00         2293.00         4026.00
1960-1964     50-54             2653.00         3896.00         6549.00
1960-1964     55-59             3207.00         5278.00         8485.00
